Unique Reference Number,Local Authority Code,Local Authority Name,Establishment Number,Establishment Name,Type Of Establishment,Establishment Status,Reason Establishment Opened,Open Date,Reason Establishment Closed,Close Date,Phase Of Education,Statutory Low Age,Statutory High Age,Boarders,Official Sixth Form,Gender,Religious Character,Diocese,Admissions Policy,School Capacity,Special Classes,Census Date,Number Of Pupils,Number Of Boys,Number Of Girls,Percentage Claiming Free School Meals,Trust School,Trust Name,School Sponsored,School Sponsor,Federation,Federation Name,Unique Property Reference Number,Further Higher Education Identifier,Further Education Type,Ofsted Last Inspected,Ofsted Special Measures,Last Changed Date,Street,Locality,Address 3,Town,County,Postcode,Website,Telephone Number,Head Title,Head First Name,Head Last Name,Head Honours,Head Preferred Job Title,Teen Mothers,Teen Mothers Places,Child Care Facilities,Special Education Needs Pupil Referral Unit,Emotional Behavioural Difficulties,Full Time Provision,Education By Other,Section 41 Approved,Special Education Needs 1,Special Education Needs 2,Region,Administrative Ward,Parliamentary Constituency,Urban Rural,GSSLA Code,Easting,Northing,Middle Super Output Area,Lower Super Output Area,Boarding Establishment,Previous Local Authority Code,Previous Local Authority Name,Previous Establishment Number,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID
100007,202,Camden,1101,Camden Primary Pupil Referral Unit,Pupil Referral Unit,Open,Not applicable,,Not applicable,,Not applicable,5,11,No Boarders,Not applicable,Mixed,Does not apply,Not applicable,Not applicable,20,Not applicable,16/01/2014,12,10,,,Not applicable,,Not applicable,,Not applicable,,,,Not applicable,26/03/2015,Not in special measures,02/06/2015,"Robson House, 74 Stanhope Street",,,London,,NW1 3EX,http://www.robsonhouse.org.uk/main/,2037720370,Mr,Andrew,Herbert,,Head of Service,Not applicable,,Not applicable,PRU Does have Provision for SEN,PRU Does have EBD provision,PRU does offer full time provision,Not applicable,Not applicable,"SEMH - Social, Emotional and Mental Health",,London,Regent's Park,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,529076,182495,Camden 023,Camden 023B,,999,,,-0.140758,51.526635,Unknown,24/09/2015,"(51.526635, -0.140758)",7
100052,202,Camden,4275,Hampstead School,Community School,Open,Not applicable,,Not applicable,,Secondary,11,18,No Boarders,Has a sixth form,Mixed,Does not apply,Not applicable,Comprehensive,1302,No Special Classes,16/01/2014,1259,710,550,29.6%,Not applicable,,Not applicable,,Not under a federation,,10002876,,Not applicable,01/02/2012,Not in special measures,18/06/2014,Westbere Road,Hampstead,,London,,NW2 3RT,http://www.hampsteadschool.org.uk/,2077948133,Mr,Jacques,Szemalikowski,,Head,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,PD - Physical Disability,,London,Fortune Green,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,524402,185633,Camden 005,Camden 005A,,999,,,-0.20699,51.555884,Unknown,24/09/2015,"(51.555884, -0.20699)",50
100029,202,Camden,3327,Christ Church School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,210,No Special Classes,16/01/2014,228,120,110,27.2%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,19/01/2012,Not in special measures,18/06/2014,Redhill Street,Camden,,London,,NW1 4BD,http://www.cchurchnw1.camden.sch.uk,2073877881,Ms,Paula,Walker,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Regent's Park,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,528821,182991,Camden 021,Camden 021B,,999,,,-0.144251,51.53115,Unknown,24/09/2015,"(51.53115, -0.144251)",27
100406,206,Islington,2261,Grafton Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,393,No Special Classes,16/01/2014,519,270,250,43.2%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,13/11/2008,Not in special measures,18/06/2014,Eburne Road,Holloway,,London,,N7 6AR,,2072723284,Ms,T,Sergides,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Finsbury Park,Islington North,Urban > 10k - less sparse,E09000019,530483,186145,Islington 007,Islington 007B,,999,,,-0.119136,51.559113,Unknown,24/09/2015,"(51.559113, -0.119136)",97
100027,202,Camden,2841,Eleanor Palmer Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,210,No Special Classes,16/01/2014,237,125,115,12.2%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,18/10/2011,Not in special measures,18/06/2014,Lupton Street,,,London,,NW5 2JA,http://www.eleanorpalmer.camden.sch.uk/,2074852155,Mrs,Kate,Frood,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Kentish Town,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,529117,185613,Camden 003,Camden 003C,,999,,,-0.139025,51.554646,Unknown,24/09/2015,"(51.554646, -0.139025)",25
100428,206,Islington,2646,Winton Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,315,No Special Classes,16/01/2014,194,110,85,54.3%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,11/03/2014,Not in special measures,18/06/2014,Killick Street,Pentonville Road,,London,,N1 9AZ,http://www.wintonprimaryschool.com,2078376096,Mr,Andrew,Rigby,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Caledonian,Islington South and Finsbury,Urban > 10k - less sparse,E09000019,530634,183172,Islington 021,Islington 021B,,999,,,-0.118062,51.532361,Unknown,24/09/2015,"(51.532361, -0.118062)",106
100028,202,Camden,3323,"Christ Church Primary School, Hampstead",Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,4,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,180,No Special Classes,16/01/2014,188,95,95,3.7%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,30/04/2009,Not in special measures,18/06/2014,Christ Church Hill,,,London,,NW3 1JH,http://www.christchurchschool.co.uk/,2074351361,Mrs,Katy,Forsdyke,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Hampstead Town,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,526518,186095,Camden 002,Camden 002E,,999,,,-0.176319,51.559566,Unknown,24/09/2015,"(51.559566, -0.176319)",26
100020,202,Camden,2475,Primrose Hill School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,486,265,225,32.7%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,04/06/2009,Not in special measures,29/06/2015,Princess Road,,,London,,NW1 8JL,http://www.primrosehill.camden.sch.uk/,2077228500,Mr,Robin,Warren,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Camden Town with Primrose Hill,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,528304,183909,Camden 018,Camden 018E,,999,,,-0.151366,51.539518,Unknown,24/09/2015,"(51.539518, -0.151366)",18
100011,202,Camden,2078,Brookfield Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,420,No Special Classes,16/01/2014,437,225,215,20.5%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,05/06/2014,Not in special measures,21/07/2014,Chester Road,,,London,,N19 5DH,http://www.brookfield.camden.sch.uk/,2072729627,Mr,Mark,Stubbings,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Highgate,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,528706,186594,Camden 001,Camden 001B,,999,,,-0.144591,51.563556,Unknown,24/09/2015,"(51.563556, -0.144591)",11
100076,202,Camden,6307,South Hampstead High School,Other Independent School,Open,Not applicable,30/09/1980,Not applicable,,Not applicable,4,18,No Boarders,Has a sixth form,Girls,,Not applicable,Not collected,934,No Special Classes,16/01/2014,902,0,900,,Not applicable,,Not applicable,,Not applicable,,10008499,,Not applicable,,Not applicable,16/01/2015,3 Maresfield Gardens,,,London,,NW3 5SS,http://www.gdst.net/shhs,2074352899,Miss,H,Pike,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Frognal and Fitzjohns,Hampstead and Kilburn,Urban > 10k - less sparse,E09000007,526491,184607,Camden 008,Camden 008C,,999,,,-0.177243,51.546199,Unknown,24/09/2015,"(51.546199, -0.177243)",72
100092,202,Camden,7137,Camden Centre for Learning (CCfL) Special School,Community Special School,Open,Not applicable,,Not applicable,,Not applicable,11,16,No Boarders,Not applicable,Mixed,Does not apply,Not applicable,Not applicable,35,Has Special Classes,16/01/2014,36,30,5,69.4%,Not applicable,,Not applicable,,Not under a federation,,10015123,,Not applicable,17/01/2013,Not in special measures,13/01/2015,Agincourt Road,,,London,,NW3 2NY,http://www.chalcot.camden.sch.uk,2079748906,Ms,Jeanette,Lowe,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,"SEMH - Social, Emotional and Mental Health",,London,Gospel Oak,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,527663,185479,Camden 006,Camden 006B,,999,,,-0.160034,51.553772,Unknown,24/09/2015,"(51.553772, -0.160034)",84
100050,202,Camden,4166,Parliament Hill School,Community School,Open,Not applicable,,Not applicable,,Secondary,11,18,No Boarders,Has a sixth form,Girls,Does not apply,Not applicable,Comprehensive,1163,No Special Classes,16/01/2014,1221,0,1220,35.7%,Not applicable,,Not applicable,,Not under a federation,,10004992,,Not applicable,19/11/2013,Not in special measures,18/06/2014,Highgate Road,,,London,,NW5 1RL,http://www.parliamenthill.camden.sch.uk/,2074857077,Ms,Susan,Higgins,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Highgate,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,528369,186019,Camden 001,Camden 001D,,999,,,-0.14966,51.558465,Unknown,24/09/2015,"(51.558465, -0.14966)",48
100043,202,Camden,3521,St Mary and St Pancras Church of England Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,210,No Special Classes,16/01/2014,234,110,120,37.6%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,16/11/2011,Not in special measures,12/11/2014,81 Werrington Street,,,London,,NW1 1QP,http://www.stmp.camden.sch.uk,2073876117,,Alice,Aharon,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,St Pancras and Somers Town,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,529495,183146,Camden 022,Camden 022C,,999,,,-0.134483,51.532389,Unknown,24/09/2015,"(51.532389, -0.134483)",41
100411,206,Islington,2379,Laycock Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,341,Has Special Classes,16/01/2014,420,225,195,50%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,23/05/2012,Not in special measures,25/06/2014,Laycock Street,Upper Street,,London,,N1 1SW,,2072262927,Mr,Emmanuel,Keteku,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,HI - Hearing Impairment,,London,St Mary's,Islington South and Finsbury,Urban > 10k - less sparse,E09000019,531535,184551,Islington 013,Islington 013D,,999,,,-0.104565,51.544544,Unknown,24/09/2015,"(51.544544, -0.104565)",100
100415,206,Islington,2429,Moreland Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,2,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,241,No Special Classes,16/01/2014,218,125,95,55.8%,Not applicable,,Not applicable,,Supported by a federation,The Federated Governing Body of St Luke's CE and Moreland Community Primary Schools,,,Not applicable,17/12/2013,Not in special measures,25/06/2015,Moreland Street,Goswell Road,,London,,EC1V 8BB,http://www.moreland-islington.co.uk,2072538144,Mrs,Ann,Dwulit,,Executive Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Bunhill,Islington South and Finsbury,Urban > 10k - less sparse,E09000019,531942,182766,Islington 022,Islington 022B,,999,,,-0.099367,51.528408,Unknown,24/09/2015,"(51.528408, -0.099367)",101
100034,202,Camden,3370,Kentish Town Church of England Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,264,Has Special Classes,16/01/2014,265,145,120,30.9%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,05/06/2013,Not in special measures,18/06/2014,Islip Street,,,London,,NW5 2TU,http://www.kentishtown.camden.sch.uk/,2074851279,Mr,Calvin Joseph,Henry,,Acting Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,PD - Physical Disability,,London,Kentish Town,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,529113,185066,Camden 003,Camden 003C,,999,,,-0.139283,51.549731,Unknown,24/09/2015,"(51.549731, -0.139283)",32
100002,201,City of London,6006,St Paul's Cathedral School,Other Independent School,Open,Not applicable,01/01/1939,Not applicable,,Not applicable,4,13,Boarding School,Does not have a sixth form,Mixed,Christian,Not applicable,Not collected,250,No Special Classes,16/01/2014,252,150,100,0%,Not applicable,,Not applicable,,Not applicable,,10018890,,Not applicable,,Not applicable,16/01/2015,2 New Change,,,London,,EC4M 9AD,http://www.stpauls.co.uk/school/school.htm,2072485156,Mr,Neil,Chippington,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Bread Street,Cities of London and Westminster,Urban > 10k - less sparse,E09000001,532160,181151,City of London 001,City of London 001D,,999,,,-0.096832,51.513844,Unknown,24/09/2015,"(51.513844, -0.096832)",3
100048,202,Camden,3655,Our Lady Roman Catholic Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Roman Catholic,Archdiocese of Westminster,Not applicable,180,No Special Classes,16/01/2014,193,100,90,39.9%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,12/02/2013,Not in special measures,18/06/2014,Pratt Street,Camden,,London,,NW1 0DP,,2074857997,Ms,Moya,Richardson,,Associate Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Camden Town with Primrose Hill,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,529268,183862,Camden 019,Camden 019B,,999,,,-0.137491,51.538876,Unknown,24/09/2015,"(51.538876, -0.137491)",46
100033,202,Camden,3361,"Holy Trinity and Saint Silas CofE Primary School, NW1",Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,4,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,190,No Special Classes,16/01/2014,208,110,100,21.6%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,14/03/2007,Not in special measures,18/06/2014,Hartland Road,,,London,,NW1 8DE,http://www.holytrinitynw1.camden.sch.uk/,2072670771,Ms,Lorraine,Dolan,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Camden Town with Primrose Hill,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,528675,184432,Camden 019,Camden 019A,,999,,,-0.145828,51.544134,Unknown,24/09/2015,"(51.544134, -0.145828)",31
100000,201,City of London,3614,Sir John Cass's Foundation Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Church of England,Diocese of London,Not applicable,210,No Special Classes,16/01/2014,233,115,120,18.1%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,18/04/2013,Not in special measures,08/10/2014,St James's Passage,Duke's Place,,London,,EC3A 5DE,http://www.sirjohncassprimary.org,2072831147,Mr,T,Wilson,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Portsoken,Cities of London and Westminster,Urban > 10k - less sparse,E09000001,533498,181201,City of London 001,City of London 001D,,999,,,-0.077542,51.513979,Unknown,24/09/2015,"(51.513979, -0.077542)",1
100407,206,Islington,2279,Hanover Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,315,No Special Classes,16/01/2014,341,190,150,36.6%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,04/12/2013,Not in special measures,18/06/2014,Noel Road,Islington,,London,,N1 8BD,http://www.hanover.islington.sch.uk,2076898949,Ms,Amanda,Reese,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,St Peter's,Islington South and Finsbury,Urban > 10k - less sparse,E09000019,531982,183273,Islington 020,Islington 020D,,999,,,-0.098601,51.532955,Unknown,24/09/2015,"(51.532955, -0.098601)",98
100401,206,Islington,2128,Copenhagen Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,270,No Special Classes,16/01/2014,245,110,135,54.7%,Not applicable,,Not applicable,,Supported by a federation,Federation of EGA and Copenhagen Primary School,,,Not applicable,10/03/2015,Not in special measures,25/06/2015,Treaty St,,,London,,N1 0WF,http://www.copenhagen.islington.sch.uk,2078375597,Miss,Harsha,Patel,,Head teacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Caledonian,Islington South and Finsbury,Urban > 10k - less sparse,E09000019,530584,183537,Islington 019,Islington 019D,,999,,,-0.118647,51.535652,Unknown,24/09/2015,"(51.535652, -0.118647)",93
100056,202,Camden,4688,William Ellis School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Secondary,11,18,No Boarders,Has a sixth form,Boys,None,Not applicable,Comprehensive,764,No Special Classes,16/01/2014,831,830,0,33.1%,Not applicable,,Not applicable,,Not under a federation,,10007511,,Not applicable,24/10/2012,Not in special measures,18/06/2014,Highgate Road,,,London,,NW5 1RN,http://www.williamellis.camden.sch.uk/,2072679346,Mr,Sam,White,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Highgate,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,528267,186049,Camden 001,Camden 001D,,999,,,-0.151119,51.558758,Unknown,24/09/2015,"(51.558758, -0.151119)",54
100045,202,Camden,3560,St Patrick's Catholic Primary School,Voluntary Aided School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Roman Catholic,Archdiocese of Westminster,Not applicable,210,No Special Classes,16/01/2014,230,110,120,38.7%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,17/05/2011,Not in special measures,18/06/2014,Holmes Road,,,London,,NW5 3AH,http://www.stpatricks.camden.sch.uk/,2072671200,Mr,Sean,Cranitch,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Kentish Town,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,528861,185010,Camden 007,Camden 007E,,999,,,-0.142936,51.549285,Unknown,24/09/2015,"(51.549285, -0.142936)",43
100066,202,Camden,6038,The Cavendish School,Other Independent School,Open,Not applicable,01/01/1950,Not applicable,,Not applicable,2,11,No Boarders,Does not have a sixth form,Girls,Roman Catholic,,Non-selective,260,No Special Classes,16/01/2014,227,5,220,,Not applicable,,Not applicable,,Not applicable,,,,Not applicable,,Not applicable,21/04/2015,31 Inverness Street,,,London,,NW1 7HB,http://www.cavendish-school.co.uk/,2074851958,Mrs,T,Dunbar,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not approved,,,London,Camden Town with Primrose Hill,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,528739,183866,Camden 021,Camden 021A,,999,,,-0.145113,51.539032,Unknown,24/09/2015,"(51.539032, -0.145113)",62
100024,202,Camden,2604,Torriano Infant School,Community School,Open,Not applicable,,Not applicable,,Primary,3,7,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,190,No Special Classes,16/01/2014,227,130,100,26.9%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,06/02/2014,Not in special measures,18/06/2014,Torriano Avenue,,,London,,NW5 2SJ,http://www.torrianoinf.camden.sch.uk/,2074854325,Ms,Gilly,Robson,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Kentish Town,Holborn and St. Pancras,Urban > 10k - less sparse,E09000007,529559,185072,Camden 009,Camden 009E,,999,,,-0.132852,51.549683,Unknown,24/09/2015,"(51.549683, -0.132852)",22
100408,206,Islington,2282,Hargrave Park Primary School,Community School,Open,Not applicable,,Not applicable,,Primary,3,11,No Boarders,Does not have a sixth form,Mixed,Does not apply,Not applicable,Not applicable,210,No Special Classes,16/01/2014,260,125,135,60.4%,Not applicable,,Not applicable,,Not under a federation,,,,Not applicable,05/03/2014,Not in special measures,18/06/2014,51 Bredgar Road,,,London,,N19 5BS,,2072723989,Mrs,Lisa,Horton,,Headteacher,Not applicable,,Not applicable,Not applicable,Not applicable,,Not applicable,Not applicable,,,London,Junction,Islington North,Urban > 10k - less sparse,E09000019,529016,186684,Islington 004,Islington 004D,,999,,,-0.140088,51.564294,Unknown,24/09/2015,"(51.564294, -0.140088)",99
