"id","minority","female","ses","mathach"
"1224",1,1,-1.248,4.753
"1288",1,1,-1.468,10.664
"1296",1,1,-0.148,12.668
"1296",1,1,-1.568,4.968
"1296",1,1,-0.288,8.278
"1296",1,1,-1.088,6.244
"1296",1,1,-1.388,1.326
"1296",1,1,-0.558,6.757
"1296",1,1,-0.698,6.251
"1296",1,1,0.142,3.404
"1296",1,1,-0.248,-0.014
"1296",1,1,0.322,5.216
"1296",1,1,0.052,3.587
"1296",1,1,-0.028,11.162
"1296",1,1,-0.898,5.982
"1296",1,1,-1.408,7.272
"1296",1,1,1.242,12.176
"1296",1,1,-0.828,6.834
"1296",1,1,-0.698,3.255
"1296",1,1,-0.498,6.355
"1296",1,1,-0.778,8.08
"1296",1,1,-0.098,19.822
"1296",1,1,-1.028,14.239
"1296",1,1,-0.418,1.17
"1296",1,1,-0.408,-1.127
"1296",1,1,-1.628,6.778
"1296",1,1,-0.698,9.449
"1296",1,1,-0.718,4.765
"1296",1,1,-1.008,14.399
"1296",1,1,-0.358,7.095
"1296",1,1,0.972,7.353
"1296",1,1,0.252,7.095
"1296",1,1,0.332,9.999
"1317",1,1,0.932,8.961
"1317",1,1,-0.158,4.756
"1317",1,1,0.362,21.405
"1317",1,1,0.132,18.362
"1317",1,1,-0.008,11.29
"1317",1,1,-0.108,10.493
"1317",1,1,0.612,10.956
"1317",1,1,0.482,21.405
"1317",1,1,0.482,12.283
"1317",1,1,0.472,9.257
"1317",1,1,1.152,20.039
"1317",1,1,-0.288,21.405
"1317",1,1,0.942,23.736
"1317",1,1,0.722,11.027
"1317",1,1,-0.108,17.203
"1317",1,1,1.462,10.661
"1317",1,1,-0.028,7.031
"1317",1,1,0.082,13.373
"1317",1,1,-0.108,10.121
"1317",1,1,0.322,10.394
"1317",1,1,0.302,6.973
"1317",1,1,-0.848,11.531
"1317",1,1,-1.248,8.253
"1317",1,1,0.122,7.142
"1317",1,1,0.272,3.22
"1317",1,1,0.642,17.246
"1317",1,1,0.952,9.337
"1317",1,1,-0.258,15.555
"1317",1,1,0.492,8.382
"1317",1,1,0.832,4.81
"1317",1,1,-0.068,17.869
"1317",1,1,-0.088,8.057
"1317",1,1,0.972,11.794
"1317",1,1,0.132,20.261
"1317",1,1,-0.008,10.066
"1358",1,1,-0.708,3.465
"1374",1,1,0.212,-2.155
"1374",1,1,0.682,0.085
"1374",1,1,-0.468,2.409
"1477",1,1,-0.368,21.75
"1499",1,1,-0.148,-1.462
"1499",1,1,-0.928,4.087
"1499",1,1,0.342,5.093
"1499",1,1,-0.578,6.018
"1499",1,1,0.382,2.404
"1499",1,1,0.432,11.685
"1499",1,1,-1.068,6.718
"1499",1,1,-1.788,1.679
"1499",1,1,-1.078,4.179
"1499",1,1,-0.678,0.259
"1499",1,1,-1.468,2.497
"1499",1,1,-0.328,13.571
"1499",1,1,-1.068,1.647
"1499",1,1,-1.818,8.532
"1637",1,1,-1.748,4.062
"1637",1,1,-0.368,-0.538
"1637",1,1,-0.388,7.032
"1637",1,1,-0.498,6.689
"1637",1,1,-0.028,-2.832
"1637",1,1,-0.648,4.814
"1637",1,1,-0.688,7.723
"1637",1,1,-1.408,3.595
"1637",1,1,-1.518,7.138
"1637",1,1,-0.758,2.202
"1637",1,1,-1.548,11.613
"1637",1,1,-0.708,-1.211
"1637",1,1,0.242,14.536
"1906",1,1,0.132,14.449
"1906",1,1,0.992,9.995
"1946",1,1,-1.068,7.341
"2030",1,1,-0.078,4.328
"2277",1,1,-0.718,3.472
"2277",1,1,1.762,4.261
"2277",1,1,-1.258,6.328
"2277",1,1,-0.678,10.308
"2277",1,1,-0.708,4.097
"2277",1,1,-1.148,8.089
"2277",1,1,-1.378,20.906
"2277",1,1,-0.398,3.522
"2277",1,1,-0.948,12.865
"2277",1,1,-0.138,8.642
"2277",1,1,-1.198,5.252
"2277",1,1,-1.008,15.778
"2277",1,1,-0.858,10.371
"2277",1,1,-0.468,3.235
"2277",1,1,-0.678,4.782
"2277",1,1,-0.188,3.677
"2277",1,1,0.502,1.938
"2277",1,1,-0.208,8.293
"2277",1,1,-0.768,12.412
"2277",1,1,-0.988,16.13
"2277",1,1,-1.718,6.701
"2277",1,1,0.052,12.075
"2277",1,1,-0.178,10.425
"2277",1,1,-1.308,12.573
"2277",1,1,-1.648,9.146
"2277",1,1,-1.058,4.559
"2277",1,1,-0.778,8.309
"2277",1,1,0.582,6.061
"2277",1,1,-0.428,6.098
"2277",1,1,-1.458,16.248
"2277",1,1,-1.178,2.462
"2277",1,1,-1.498,4.069
"2277",1,1,-1.278,15.922
"2277",1,1,0.562,13.484
"2277",1,1,-0.528,4.579
"2277",1,1,-1.438,14.009
"2277",1,1,0.122,4.322
"2277",1,1,-1.128,5.081
"2277",1,1,-1.058,12.725
"2277",1,1,-0.858,14.231
"2277",1,1,-1.078,8.338
"2277",1,1,-1.028,18.592
"2277",1,1,-0.298,11.975
"2277",1,1,-1.808,22.731
"2277",1,1,-1.138,21.723
"2277",1,1,-1.388,5.467
"2277",1,1,-1.318,6.18
"2305",1,1,-0.738,16.405
"2305",1,1,-1.178,12.823
"2305",1,1,-0.308,15.256
"2305",1,1,-0.358,12.746
"2305",1,1,-1.518,10.246
"2305",1,1,-0.518,8.94
"2305",1,1,-0.368,-1.005
"2305",1,1,-0.228,17.401
"2305",1,1,0.102,15.192
"2305",1,1,0.052,16.174
"2305",1,1,-0.148,12.433
"2305",1,1,-0.528,16.331
"2305",1,1,-0.648,6.51
"2305",1,1,-0.598,4.082
"2305",1,1,-1.058,6.444
"2305",1,1,-1.178,2.734
"2305",1,1,-0.358,4.005
"2305",1,1,-1.208,14.364
"2305",1,1,-1.548,11.896
"2305",1,1,0.182,12.313
"2305",1,1,-1.698,12.199
"2305",1,1,-0.148,15.062
"2305",1,1,-0.438,11.356
"2305",1,1,-0.388,6.292
"2305",1,1,-0.478,7.141
"2305",1,1,0.442,10.168
"2305",1,1,-0.598,10.567
"2305",1,1,-0.568,12.356
"2305",1,1,-0.058,5.074
"2305",1,1,-1.178,13.882
"2305",1,1,-0.468,2.095
"2305",1,1,-0.568,15.898
"2305",1,1,-2.138,14.09
"2305",1,1,-1.608,11.01
"2305",1,1,-0.708,6.407
"2305",1,1,-0.008,2.079
"2305",1,1,-0.858,13.632
"2305",1,1,-0.838,15.303
"2305",1,1,-0.438,10.264
"2305",1,1,-0.888,10.004
"2305",1,1,-0.338,15.857
"2305",1,1,-1.288,18.534
"2305",1,1,0.202,10.927
"2305",1,1,1.242,9.318
"2305",1,1,-0.778,9.917
"2305",1,1,0.122,6.727
"2305",1,1,-1.458,14.901
"2305",1,1,-1.928,13.344
"2305",1,1,-1.128,16.557
"2305",1,1,-0.588,14.038
"2305",1,1,-1.038,10.067
"2305",1,1,-1.028,10.743
"2305",1,1,-0.708,21.352
"2305",1,1,-0.038,11.658
"2305",1,1,-1.378,17.251
