"id","minority","female","ses","mathach"
"1224",1,0,-1.528,4.145
"1224",1,0,0.142,-1.688
"1224",1,0,-1.658,0.122
"1288",1,0,-0.328,10.171
"1288",1,0,-0.158,5.552
"1296",1,0,-0.858,0.781
"1296",1,0,-0.898,23.172
"1296",1,0,-1.148,2.359
"1296",1,0,0.522,22.201
"1296",1,0,0.732,-1.353
"1296",1,0,-0.818,2.814
"1296",1,0,-1.258,8.895
"1296",1,0,-0.608,8.773
"1296",1,0,-0.658,11.589
"1296",1,0,0.352,10.84
"1296",1,0,-0.168,5.995
"1296",1,0,-0.178,6.588
"1296",1,0,0.392,11.026
"1296",1,0,-0.628,12.721
"1296",1,0,-0.038,5.52
"1296",1,0,-0.308,10.715
"1308",1,0,-0.058,13.757
"1308",1,0,0.332,16.039
"1308",1,0,0.582,15.657
"1308",1,0,0.802,17.615
"1308",1,0,-0.568,21.116
"1308",1,0,0.522,6.493
"1308",1,0,0.102,2.512
"1308",1,0,-0.348,22.393
"1358",1,0,0.032,-1.347
"1358",1,0,-1.208,-0.827
"1374",1,0,0.072,18.948
"1374",1,0,1.242,0.333
"1374",1,0,0.712,-2.657
"1374",1,0,-0.598,5.803
"1374",1,0,-1.028,3.931
"1374",1,0,0.292,16.449
"1433",1,0,1.002,24.479
"1461",1,0,-0.668,-2.832
"1462",1,0,0.162,1.967
"1462",1,0,-0.758,7.718
"1462",1,0,-0.708,19.043
"1462",1,0,-0.818,20.133
"1462",1,0,-1.918,22.289
"1462",1,0,-0.948,14.277
"1462",1,0,-0.798,10.189
"1462",1,0,-1.458,9.607
"1462",1,0,-0.158,6.125
"1462",1,0,-0.378,23.818
"1462",1,0,-1.068,6.34
"1462",1,0,-0.808,9.437
"1462",1,0,-1.648,8.168
"1462",1,0,-0.288,4.31
"1462",1,0,-0.328,6.986
"1462",1,0,-0.498,21.452
"1462",1,0,-0.158,9.167
"1462",1,0,-0.728,9.625
"1462",1,0,-0.948,0.722
"1462",1,0,-0.728,3.115
"1462",1,0,-1.508,23.066
"1462",1,0,-0.088,4.518
"1462",1,0,-0.638,5.337
"1462",1,0,-0.358,4.103
"1462",1,0,-0.658,15.794
"1462",1,0,-0.958,1.975
"1462",1,0,-1.208,2.693
"1462",1,0,-0.378,13.809
"1462",1,0,-0.918,7.964
"1462",1,0,0.222,2.142
"1462",1,0,0.312,6.035
"1462",1,0,-0.488,17.996
"1462",1,0,-0.868,9.909
"1462",1,0,-0.708,5.189
"1462",1,0,-1.178,7.772
"1462",1,0,-0.498,12.074
"1462",1,0,0.032,15.103
"1462",1,0,-1.318,11.252
"1462",1,0,-1.948,1.283
"1462",1,0,-0.738,16.975
"1462",1,0,-0.558,8.762
"1462",1,0,-0.518,6.789
"1462",1,0,-1.098,12.283
"1462",1,0,-0.778,11.479
"1462",1,0,-1.068,9.071
"1462",1,0,-0.388,9.474
"1462",1,0,0.222,12.089
"1462",1,0,0.112,16.534
"1462",1,0,-0.528,6.331
"1462",1,0,-0.398,10.386
"1462",1,0,-0.358,8.163
"1462",1,0,-0.598,18.801
"1462",1,0,-1.708,22.581
"1462",1,0,-0.268,16.095
