"id","minority","female","ses","mathach"
"1224",0,0,-0.528,20.349
"1224",0,0,-0.668,8.781
"1224",0,0,-0.158,17.898
"1224",0,0,0.022,4.583
"1224",0,0,-0.998,0.523
"1224",0,0,-0.458,21.521
"1224",0,0,-0.468,21.178
"1224",0,0,0.332,20.349
"1224",0,0,-0.298,19.338
"1224",0,0,-0.078,16.405
"1224",0,0,-0.468,3.154
"1224",0,0,-0.628,21.721
"1224",0,0,-0.878,10.557
"1224",0,0,-0.938,0.868
"1224",0,0,-0.548,8.296
"1224",0,0,0.372,6.714
"1288",0,0,0.472,15.699
"1288",0,0,-0.518,18.207
"1288",0,0,0.042,7.416
"1288",0,0,0.682,18.792
"1288",0,0,1.262,1.575
"1288",0,0,0.612,19.527
"1288",0,0,0.222,21.437
"1288",0,0,0.032,7.519
"1288",0,0,-0.118,18.397
"1288",0,0,-0.488,4.617
"1288",0,0,0.322,23.578
"1288",0,0,0.592,12.81
"1296",0,0,-0.688,3.052
"1308",0,0,0.422,13.233
"1308",0,0,0.562,13.952
"1308",0,0,0.952,13.97
"1308",0,0,0.622,23.434
"1308",0,0,0.832,9.162
"1308",0,0,1.512,23.818
"1308",0,0,0.622,15.998
"1308",0,0,0.442,24.993
"1308",0,0,1.102,16.258
"1308",0,0,0.892,10.546
"1308",0,0,0.552,21.488
"1308",0,0,0.682,22.676
"1358",0,0,0.372,15.655
"1358",0,0,-0.568,11.648
"1358",0,0,-0.328,11.629
"1358",0,0,-0.098,7.87
"1358",0,0,0.942,18.115
"1358",0,0,0.122,11.03
"1358",0,0,0.252,15.038
"1358",0,0,-0.148,8.438
"1358",0,0,1.092,18.735
"1358",0,0,0.422,16.294
"1358",0,0,1.282,10.65
"1358",0,0,-0.248,10.301
"1358",0,0,0.952,17.811
"1358",0,0,0.162,8.69
"1358",0,0,0.682,21.142
"1358",0,0,-0.668,16.499
"1358",0,0,-0.038,14.591
"1374",0,0,0.322,16.663
"1374",0,0,-0.858,15.557
"1374",0,0,0.902,23.419
"1374",0,0,-0.738,-2.002
"1374",0,0,0.362,24.041
"1374",0,0,-0.338,8.268
"1374",0,0,-0.948,1.344
"1374",0,0,1.152,22.086
"1374",0,0,-0.738,12.063
"1433",0,0,0.812,12.907
"1433",0,0,1.332,18.496
"1433",0,0,-0.338,20.323
"1433",0,0,1.082,22.682
"1433",0,0,0.542,14.198
"1433",0,0,0.382,24.044
"1433",0,0,0.592,19.571
"1433",0,0,0.852,22.183
"1433",0,0,-0.368,16.676
"1433",0,0,1.022,23.327
"1433",0,0,0.712,16.394
"1433",0,0,0.272,23.032
"1433",0,0,1.182,18.586
"1433",0,0,-0.588,15.246
"1433",0,0,1.282,20.731
"1433",0,0,0.942,20.447
"1433",0,0,1.512,23.572
"1433",0,0,0.222,17.571
"1433",0,0,0.992,24.993
"1433",0,0,1.362,24.421
"1433",0,0,0.482,11.478
"1433",0,0,1.292,24.812
"1433",0,0,1.072,22.093
"1433",0,0,0.562,18.716
"1433",0,0,-0.218,23.392
"1433",0,0,1.512,15.992
"1433",0,0,0.772,13.254
"1433",0,0,0.952,24.812
"1433",0,0,1.392,22.086
"1433",0,0,0.932,16.724
"1433",0,0,-0.458,20.628
"1433",0,0,-0.198,14.544
"1433",0,0,0.952,19.033
"1433",0,0,1.072,18.727
"1436",0,0,0.222,24.133
"1436",0,0,-0.078,18.77
"1436",0,0,1.512,21.803
"1436",0,0,0.212,9.561
"1436",0,0,0.242,22.578
"1436",0,0,-0.298,18.763
"1436",0,0,-1.038,18.301
"1436",0,0,0.682,15.879
"1436",0,0,0.802,20.424
"1436",0,0,0.952,23.072
"1436",0,0,1.142,18.844
"1436",0,0,-0.338,19.419
"1436",0,0,0.672,22.868
"1436",0,0,0.732,14.138
"1436",0,0,0.822,23.271
"1436",0,0,0.362,13.472
"1436",0,0,-0.318,17.465
"1436",0,0,0.682,16.038
"1436",0,0,0.712,22.455
"1436",0,0,0.542,18.984
"1436",0,0,0.252,12.535
"1436",0,0,-0.028,22.592
"1436",0,0,0.252,16.886
"1436",0,0,0.702,22.985
"1436",0,0,1.342,24.479
"1436",0,0,1.122,24.993
"1436",0,0,0.272,15.06
"1436",0,0,-0.018,18.33
"1436",0,0,0.772,18.14
"1461",0,0,1.272,23.088
"1461",0,0,1.352,18.259
"1461",0,0,1.422,23.517
"1461",0,0,-0.108,14.157
"1461",0,0,-0.358,17.999
"1461",0,0,-0.778,22.183
"1461",0,0,1.262,22.461
"1461",0,0,1.392,18.322
"1461",0,0,0.932,21.007
"1461",0,0,1.062,18.471
"1461",0,0,1.212,24.48
"1461",0,0,1.062,22.685
"1461",0,0,0.172,-0.338
"1462",0,0,0.302,20.792
"1477",0,0,-0.108,3.976
"1477",0,0,0.262,3.846
"1477",0,0,-0.208,22.84
"1477",0,0,0.812,1.606
"1477",0,0,0.282,17.191
"1477",0,0,0.012,16.288
"1477",0,0,0.392,7.106
"1477",0,0,-1.068,20.714
"1477",0,0,0.662,18.171
"1477",0,0,-0.388,-2.832
"1477",0,0,1.222,20.246
"1477",0,0,0.202,12.755
"1477",0,0,1.512,14.076
"1477",0,0,-0.238,22.493
"1477",0,0,0.022,22.714
"1477",0,0,0.562,11.031
"1477",0,0,0.352,24.107
"1477",0,0,0.932,14.732
"1477",0,0,0.352,16.304
"1477",0,0,-0.748,16.19
"1477",0,0,0.042,-0.203
"1477",0,0,-0.808,17.967
"1477",0,0,1.342,24.247
"1477",0,0,0.492,17.791
"1477",0,0,-0.818,10.349
"1477",0,0,-0.548,17.007
"1477",0,0,0.072,16.262
"1477",0,0,0.052,18.887
"1477",0,0,-0.118,24.812
"1477",0,0,1.212,15.245
"1477",0,0,-0.248,12.508
"1477",0,0,0.632,21.853
"1499",0,0,0.662,21.791
"1499",0,0,-0.228,1.365
"1499",0,0,0.692,17.572
"1499",0,0,0.222,21.907
"1499",0,0,-0.398,7.709
"1499",0,0,0.192,9.901
"1499",0,0,-0.218,8.401
"1499",0,0,-0.628,11.955
"1499",0,0,-0.228,5.376
"1499",0,0,0.282,6.672
"1499",0,0,0.102,7.88
"1637",0,0,-0.158,4.213
"1637",0,0,0.622,5.571
"1637",0,0,0.232,9.826
"1637",0,0,-0.968,3.77
"1637",0,0,0.742,24.993
"1906",0,0,0.822,17.985
"1906",0,0,0.702,14.63
"1906",0,0,1.012,16.667
"1906",0,0,0.602,14.171
"1906",0,0,0.592,22.107
"1906",0,0,0.202,24.457
"1906",0,0,-0.278,0.901
"1906",0,0,1.512,23.345
"1906",0,0,1.122,22.222
"1906",0,0,1.512,7.865
"1906",0,0,1.082,21.556
"1906",0,0,0.802,23.062
"1906",0,0,0.272,12.15
"1906",0,0,1.152,24.247
"1906",0,0,-0.138,4.94
"1906",0,0,0.272,16.426
"1906",0,0,1.292,22.59
"1906",0,0,1.422,18.189
"1906",0,0,0.952,15.602
"1906",0,0,-0.378,8.609
"1906",0,0,0.102,23.231
"1906",0,0,0.412,17.127
"1906",0,0,-0.188,20.66
"1909",0,0,0.482,12.165
"1909",0,0,0.762,8.645
"1909",0,0,1.172,8.357
"1909",0,0,0.972,23.096
"1909",0,0,-0.028,7.539
"1909",0,0,1.022,23.286
"1909",0,0,-0.018,22.053
"1909",0,0,-0.478,12.5
"1909",0,0,1.512,23.93
"1909",0,0,-0.738,5.69
"1909",0,0,0.532,19.385
"1909",0,0,-0.178,17.416
"1909",0,0,-0.118,20.664
"1909",0,0,-0.258,16
"1909",0,0,0.682,7.327
"1909",0,0,0.332,12.279
"1909",0,0,1.362,8.132
"1942",0,0,1.372,12.398
"1942",0,0,0.412,24.041
"1942",0,0,1.162,23.856
