"name"	"brewer"	"style"	"abv"	"ratings"	"score.overall"	"score.by.style"
"1"	"Abbey Monks Ale"	"Abbey Beverage Company"	"Belgian Ale"	5.2	96	50	49
"2"	"Abbey Monks Tripel"	"Abbey Beverage Company"	"Abbey Tripel"	8	3	NA	NA
"3"	"Abbey Monks Wit"	"Abbey Beverage Company"	"Belgian White (Witbier)"	5.1	46	23	19
"4"	"Alameda Barn Owl Imperial Brown Ale"	"Alameda Brewing Co."	"Brown Ale"	7.9	13	74	81
"5"	"Alameda Black Bear XX Stout"	"Alameda Brewing Co."	"Foreign Stout"	6.8	172	94	76
"6"	"Alameda El Torero Organic IPA"	"Alameda Brewing Co."	"India Pale Ale (IPA)"	7.2	56	74	43
"7"	"Alameda Huckleberry Hound"	"Alameda Brewing Co."	"Fruit Beer"	6.5	5	NA	NA
"8"	"Alameda Klickitat Pale Ale"	"Alameda Brewing Co."	"American Pale Ale"	5.3	61	75	67
"9"	"Alameda Papa Noels Olde Ale"	"Alameda Brewing Co."	"Old Ale"	7.2	53	87	70
"10"	"Alameda Yellow Wolf Imperial IPA"	"Alameda Brewing Co."	"Imperial/Double IPA"	8.2	74	95	64
"11"	"Ale Industries Fall Down Brown"	"Ale Industries"	"Spice/Herb/Vegetable"	8.25	8	NA	NA
"12"	"Ale Industries Orange Shush"	"Ale Industries"	"Belgian White (Witbier)"	4.4	0	NA	NA
"13"	"Ale Industries Ryed Piper"	"Ale Industries"	"Specialty Grain"	5.75	30	93	96
"14"	"American Brewing American Blonde"	"American Brewing Company"	"Golden Ale/Blond Ale"	4.5	15	44	60
"15"	"American Brewing Breakaway IPA"	"American Brewing Company"	"India Pale Ale (IPA)"	7.2	60	93	86
"16"	"American Brewing Caboose Oatmeal Stout"	"American Brewing Company"	"Sweet Stout"	7	41	91	81
"17"	"Appalachian 666"	"Appalachian Brewing Company (PA)"	"English Strong Ale"	7.7	43	82	85
"18"	"Appalachian Broad Street Barley Wine"	"Appalachian Brewing Company (PA)"	"Barley Wine"	12.8	99	97	86
"19"	"Appalachian Grinnin Grizzly"	"Appalachian Brewing Company (PA)"	"Spice/Herb/Vegetable"	5.7	37	33	37
"20"	"Appalachian Hoppy Trails IPA"	"Appalachian Brewing Company (PA)"	"India Pale Ale (IPA)car"	6.2	143	73	42
"21"	"Appalachian Jolly Scot Scottish Ale"	"Appalachian Brewing Company (PA)"	"Scottish Ale"	5.2	230	50	47
"22"	"Appalachian Kipona Fest"	"Appalachian Brewing Company (PA)"	"Oktoberfest/Märzen"	5.2	63	49	76
"23"	"Appalachian Mountain Lager"	"Appalachian Brewing Company (PA)"	"Dortmunder/Helles"	4.5	159	20	25
"24"	"Appalachian Outta Focus"	"Appalachian Brewing Company (PA)"	"Imperial/Double IPA"	8	32	78	24
"25"	"Appalachian Peregrine Pilsner"	"Appalachian Brewing Company (PA)"	"Bohemian Pilsener"	4.8	36	39	54
"26"	"Appalachian Purist Pale Ale"	"Appalachian Brewing Company (PA)"	"American Pale Ale"	4.9	151	46	33
"27"	"Appalachian Susquehanna Stout"	"Appalachian Brewing Company (PA)"	"Dry Stout"	4.6	79	89	95
"28"	"Appalachian Trail Blaze Organic Brown"	"Appalachian Brewing Company (PA)"	"Brown Ale"	0	59	46	44
"29"	"Appalachian Volks Weizenbock"	"Appalachian Brewing Company (PA)"	"Weizen Bock"	7.2	44	72	48
"30"	"Appalachian Water Gap Wheat"	"Appalachian Brewing Company (PA)"	"Wheat Ale"	4.5	146	18	20
"31"	"Bent River Mississippi Blonde"	"Bent River Brewing Company"	"Golden Ale/Blond Ale"	4.29	27	12	6
"32"	"Bent River Uncommon Stout"	"Bent River Brewing Company"	"Sweet Stout"	6.5	65	97	96
"33"	"Bison Organic Chocolate Stout"	"Bison Brewing Company"	"Stout"	6.1	484	91	89
"34"	"Bison Organic Gingerbread Ale"	"Bison Brewing Company"	"Spice/Herb/Vegetable"	6	239	73	83
"35"	"Bison Organic Honey Basil"	"Bison Brewing Company"	"Spice/Herb/Vegetable"	6	143	57	68
"36"	"Bison Organic Imperial Brown"	"Bison Brewing Company"	"Brown Ale"	7	43	71	76
"37"	"Bison Organic IPA"	"Bison Brewing Company"	"India Pale Ale (IPA)"	6.8	285	60	30
